<BALANCE>,Data
5000.0,2015-01-01
5083.0,2015-01-02
5161.0,2015-01-05
5392.0,2015-01-06
5302.0,2015-01-07
5633.0,2015-01-08
5396.0,2015-01-09
5476.0,2015-01-12
5256.0,2015-01-13
5144.0,2015-01-14
5144.0,2015-01-15
5128.0,2015-01-16
5165.0,2015-01-19
4673.0,2015-01-20
4851.0,2015-01-21
4815.0,2015-01-22
4886.0,2015-01-23
4771.0,2015-01-26
4706.0,2015-01-27
4793.0,2015-01-28
5034.0,2015-01-29
5131.0,2015-01-30
5131.0,2015-02-02
5383.0,2015-02-03
5379.0,2015-02-04
5455.0,2015-02-05
5577.0,2015-02-06
5638.0,2015-02-09
5799.0,2015-02-10
5795.0,2015-02-11
5875.0,2015-02-12
5722.0,2015-02-13
5661.0,2015-02-18
5631.0,2015-02-19
5519.0,2015-02-20
5730.0,2015-02-23
6011.0,2015-02-24
6051.0,2015-02-25
6213.0,2015-02-26
6472.0,2015-02-27
6315.0,2015-03-02
6396.0,2015-03-03
6466.0,2015-03-04
6499.0,2015-03-05
6468.0,2015-03-06
6419.0,2015-03-09
6394.0,2015-03-10
6491.0,2015-03-11
6396.0,2015-03-12
6433.0,2015-03-13
6286.0,2015-03-16
5942.0,2015-03-17
5680.0,2015-03-18
5592.0,2015-03-19
5693.0,2015-03-20
5688.0,2015-03-23
5636.0,2015-03-24
5511.0,2015-03-25
5339.0,2015-03-26
5591.0,2015-03-27
5369.0,2015-03-30
5582.0,2015-03-31
5188.0,2015-04-01
5020.0,2015-04-02
4946.0,2015-04-06
5280.0,2015-04-07
5297.0,2015-04-08
5400.0,2015-04-09
5461.0,2015-04-10
5475.0,2015-04-13
5805.0,2015-04-14
5743.0,2015-04-15
5663.0,2015-04-16
5501.0,2015-04-17
5445.0,2015-04-20
5286.0,2015-04-22
5343.0,2015-04-23
5034.0,2015-04-24
5264.0,2015-04-27
5198.0,2015-04-28
5165.0,2015-04-29
5390.0,2015-04-30
5321.0,2015-05-04
5530.0,2015-05-05
5729.0,2015-05-06
5866.0,2015-05-07
6138.0,2015-05-08
6250.0,2015-05-11
6214.0,2015-05-12
6263.0,2015-05-13
6541.0,2015-05-14
6789.0,2015-05-15
6419.0,2015-05-18
6336.0,2015-05-19
6548.0,2015-05-20
6790.0,2015-05-21
6657.0,2015-05-22
6643.0,2015-05-25
6524.0,2015-05-26
6629.0,2015-05-27
6623.0,2015-05-28
6666.0,2015-05-29
6869.0,2015-06-01
6585.0,2015-06-02
6590.0,2015-06-03
6720.0,2015-06-05
6746.0,2015-06-08
6539.0,2015-06-09
6294.0,2015-06-10
6379.0,2015-06-11
6143.0,2015-06-12
6106.0,2015-06-15
6017.0,2015-06-16
6177.0,2015-06-17
6313.0,2015-06-18
6435.0,2015-06-19
6593.0,2015-06-22
6463.0,2015-06-23
6421.0,2015-06-24
6278.0,2015-06-25
6312.0,2015-06-26
6442.0,2015-06-29
6550.0,2015-06-30
6461.0,2015-07-01
6219.0,2015-07-02
6286.0,2015-07-03
6466.0,2015-07-06
6332.0,2015-07-07
6355.0,2015-07-08
6371.0,2015-07-10
6310.0,2015-07-13
6201.0,2015-07-14
6220.0,2015-07-15
6328.0,2015-07-16
6239.0,2015-07-17
6359.0,2015-07-20
6496.0,2015-07-21
6493.0,2015-07-22
6439.0,2015-07-23
6352.0,2015-07-24
6358.0,2015-07-27
6738.0,2015-07-28
7042.0,2015-07-29
7045.0,2015-07-30
6810.0,2015-07-31
6749.0,2015-08-03
6702.0,2015-08-04
6906.0,2015-08-05
6815.0,2015-08-06
6395.0,2015-08-07
6265.0,2015-08-10
5993.0,2015-08-11
6388.0,2015-08-12
6382.0,2015-08-13
6483.0,2015-08-14
6569.0,2015-08-17
6877.0,2015-08-18
6590.0,2015-08-19
6737.0,2015-08-20
6560.0,2015-08-21
6013.0,2015-08-24
6302.0,2015-08-25
6334.0,2015-08-26
6257.0,2015-08-27
6219.0,2015-08-28
5898.0,2015-08-31
5990.0,2015-09-01
5900.0,2015-09-02
5913.0,2015-09-03
6090.0,2015-09-04
6131.0,2015-09-08
6027.0,2015-09-09
6251.0,2015-09-10
6415.0,2015-09-11
6406.0,2015-09-14
6650.0,2015-09-15
6549.0,2015-09-16
6597.0,2015-09-17
6458.0,2015-09-18
6464.0,2015-09-21
6425.0,2015-09-22
6512.0,2015-09-23
6048.0,2015-09-24
6230.0,2015-09-25
6263.0,2015-09-28
6425.0,2015-09-29
6407.0,2015-09-30
6329.0,2015-10-01
6351.0,2015-10-02
6476.0,2015-10-05
6455.0,2015-10-06
6290.0,2015-10-07
6261.0,2015-10-08
6368.0,2015-10-09
6145.0,2015-10-13
6172.0,2015-10-14
6131.0,2015-10-15
6017.0,2015-10-16
6043.0,2015-10-19
5811.0,2015-10-20
6009.0,2015-10-21
6071.0,2015-10-22
5903.0,2015-10-23
6005.0,2015-10-26
6094.0,2015-10-27
6315.0,2015-10-28
6249.0,2015-10-29
6323.0,2015-10-30
6518.0,2015-11-03
6346.0,2015-11-04
6563.0,2015-11-05
6532.0,2015-11-06
6518.0,2015-11-09
6620.0,2015-11-10
6689.0,2015-11-11
6914.0,2015-11-12
7236.0,2015-11-13
7455.0,2015-11-16
7494.0,2015-11-17
7460.0,2015-11-18
7661.0,2015-11-19
7767.0,2015-11-23
7749.0,2015-11-24
7526.0,2015-11-25
7561.0,2015-11-26
7518.0,2015-11-27
7539.0,2015-11-30
7616.0,2015-12-01
7454.0,2015-12-02
7538.0,2015-12-03
7335.0,2015-12-04
7278.0,2015-12-07
7493.0,2015-12-08
7141.0,2015-12-09
7191.0,2015-12-10
7605.0,2015-12-11
7552.0,2015-12-14
7461.0,2015-12-15
7446.0,2015-12-16
7304.0,2015-12-17
7216.0,2015-12-18
7357.0,2015-12-21
7354.0,2015-12-22
7528.0,2015-12-23
7633.0,2015-12-28
7521.0,2015-12-29
7512.0,2015-12-30
7564.0,2016-01-04
7542.0,2016-01-05
7462.0,2016-01-06
7372.0,2016-01-07
7284.0,2016-01-08
7428.0,2016-01-11
7420.0,2016-01-12
7220.0,2016-01-13
7201.0,2016-01-14
7079.0,2016-01-15
7167.0,2016-01-18
7086.0,2016-01-19
7156.0,2016-01-20
7164.0,2016-01-21
7270.0,2016-01-22
7378.0,2016-01-26
6950.0,2016-01-27
7289.0,2016-01-28
7001.0,2016-01-29
6929.0,2016-02-01
6443.0,2016-02-02
6479.0,2016-02-03
6961.0,2016-02-04
6968.0,2016-02-05
6954.0,2016-02-10
6860.0,2016-02-11
6985.0,2016-02-12
6953.0,2016-02-15
6916.0,2016-02-16
6592.0,2016-02-17
6765.0,2016-02-18
6762.0,2016-02-19
6539.0,2016-02-22
6625.0,2016-02-23
6607.0,2016-02-24
6886.0,2016-02-25
6708.0,2016-02-26
6453.0,2016-02-29
6434.0,2016-03-01
6453.0,2016-03-02
6169.0,2016-03-03
6167.0,2016-03-04
6648.0,2016-03-07
7034.0,2016-03-08
7030.0,2016-03-09
7083.0,2016-03-10
