<BALANCE>;Data
5000.0;2019-01-01
4914.0;2019-01-02
5230.0;2019-01-03
5438.0;2019-01-04
5393.0;2019-01-07
5697.0;2019-01-08
5649.0;2019-01-09
5660.0;2019-01-10
5834.0;2019-01-11
5945.0;2019-01-14
6115.0;2019-01-15
6264.0;2019-01-16
6256.0;2019-01-17
6183.0;2019-01-18
6117.0;2019-01-21
6162.0;2019-01-22
6051.0;2019-01-23
5972.0;2019-01-24
5598.0;2019-01-28
5481.0;2019-01-29
5209.0;2019-01-30
5216.0;2019-01-31
5338.0;2019-02-01
5523.0;2019-02-04
5640.0;2019-02-05
5476.0;2019-02-06
5530.0;2019-02-07
6163.0;2019-02-08
6071.0;2019-02-11
5932.0;2019-02-12
6232.0;2019-02-13
5890.0;2019-02-14
6303.0;2019-02-15
6057.0;2019-02-18
5778.0;2019-02-19
5794.0;2019-02-20
5715.0;2019-02-21
5808.0;2019-02-22
5840.0;2019-02-25
5992.0;2019-02-26
5849.0;2019-02-27
6010.0;2019-02-28
5873.0;2019-03-01
5650.0;2019-03-06
5622.0;2019-03-07
5618.0;2019-03-08
5334.0;2019-03-11
5709.0;2019-03-12
5853.0;2019-03-13
5852.0;2019-03-14
6359.0;2019-03-15
6294.0;2019-03-18
6408.0;2019-03-19
6562.0;2019-03-20
6274.0;2019-03-21
6111.0;2019-03-22
6266.0;2019-03-25
6124.0;2019-03-26
6106.0;2019-03-27
5639.0;2019-03-28
5598.0;2019-03-29
5712.0;2019-04-01
5365.0;2019-04-02
5669.0;2019-04-03
5616.0;2019-04-04
5925.0;2019-04-05
6525.0;2019-04-08
6183.0;2019-04-09
6286.0;2019-04-10
5969.0;2019-04-11
6426.0;2019-04-12
6534.0;2019-04-15
6423.0;2019-04-16
6520.0;2019-04-17
6562.0;2019-04-18
6771.0;2019-04-22
6646.0;2019-04-23
6764.0;2019-04-24
6856.0;2019-04-25
6955.0;2019-04-26
7014.0;2019-04-29
7137.0;2019-04-30
7167.0;2019-05-02
7160.0;2019-05-03
7302.0;2019-05-06
7315.0;2019-05-07
7121.0;2019-05-08
6856.0;2019-05-09
6621.0;2019-05-10
6670.0;2019-05-13
6853.0;2019-05-14
7310.0;2019-05-15
7772.0;2019-05-16
7463.0;2019-05-17
7661.0;2019-05-20
7568.0;2019-05-21
8015.0;2019-05-22
8152.0;2019-05-23
8259.0;2019-05-24
8018.0;2019-05-27
8073.0;2019-05-28
8442.0;2019-05-29
8624.0;2019-05-30
8870.0;2019-05-31
8952.0;2019-06-03
8999.0;2019-06-04
9179.0;2019-06-05
9547.0;2019-06-06
9400.0;2019-06-07
9269.0;2019-06-10
9200.0;2019-06-11
9110.0;2019-06-12
9173.0;2019-06-13
9199.0;2019-06-14
9038.0;2019-06-17
8755.0;2019-06-18
8716.0;2019-06-19
8661.0;2019-06-21
8802.0;2019-06-24
8680.0;2019-06-25
9079.0;2019-06-26
8779.0;2019-06-27
8912.0;2019-06-28
8754.0;2019-07-01
9182.0;2019-07-02
9071.0;2019-07-03
9093.0;2019-07-04
9087.0;2019-07-05
9181.0;2019-07-08
8979.0;2019-07-10
9133.0;2019-07-11
9369.0;2019-07-12
9834.0;2019-07-15
10069.0;2019-07-16
10333.0;2019-07-17
10468.0;2019-07-18
10154.0;2019-07-19
10269.0;2019-07-22
10430.0;2019-07-23
10399.0;2019-07-24
10541.0;2019-07-25
10529.0;2019-07-26
10803.0;2019-07-29
10816.0;2019-07-30
10587.0;2019-07-31
10092.0;2019-08-01
10570.0;2019-08-02
10298.0;2019-08-05
10164.0;2019-08-06
9709.0;2019-08-07
9520.0;2019-08-08
9770.0;2019-08-09
9645.0;2019-08-12
9996.0;2019-08-13
9752.0;2019-08-14
9961.0;2019-08-15
10098.0;2019-08-16
10111.0;2019-08-19
10613.0;2019-08-20
10591.0;2019-08-21
10653.0;2019-08-22
11229.0;2019-08-23
11472.0;2019-08-26
11626.0;2019-08-27
11662.0;2019-08-28
11277.0;2019-08-29
11405.0;2019-08-30
11692.0;2019-09-02
12205.0;2019-09-03
12475.0;2019-09-04
12310.0;2019-09-05
12544.0;2019-09-06
12641.0;2019-09-09
13161.0;2019-09-10
13258.0;2019-09-11
13460.0;2019-09-12
13421.0;2019-09-13
13876.0;2019-09-16
13664.0;2019-09-17
13823.0;2019-09-18
13838.0;2019-09-19
14100.0;2019-09-20
14191.0;2019-09-23
14402.0;2019-09-24
14722.0;2019-09-25
15073.0;2019-09-26
15032.0;2019-09-27
15118.0;2019-09-30
15067.0;2019-10-01
14551.0;2019-10-02
14818.0;2019-10-03
14717.0;2019-10-04
15039.0;2019-10-07
15186.0;2019-10-08
15226.0;2019-10-09
15212.0;2019-10-10
15391.0;2019-10-11
15423.0;2019-10-14
15129.0;2019-10-15
15216.0;2019-10-16
15342.0;2019-10-17
15405.0;2019-10-18
15428.0;2019-10-21
15138.0;2019-10-22
15358.0;2019-10-23
15475.0;2019-10-24
15442.0;2019-10-25
15353.0;2019-10-28
15447.0;2019-10-29
15226.0;2019-10-30
15027.0;2019-10-31
14961.0;2019-11-01
15026.0;2019-11-04
15119.0;2019-11-05
15466.0;2019-11-06
15457.0;2019-11-07
15399.0;2019-11-08
15293.0;2019-11-11
14992.0;2019-11-12
15092.0;2019-11-13
15460.0;2019-11-14
15538.0;2019-11-18
15304.0;2019-11-19
15271.0;2019-11-21
15460.0;2019-11-22
15608.0;2019-11-25
15476.0;2019-11-26
15085.0;2019-11-27
15300.0;2019-11-28
15664.0;2019-11-29
15586.0;2019-12-02
15518.0;2019-12-03
15297.0;2019-12-04
15499.0;2019-12-05
15476.0;2019-12-06
15478.0;2019-12-09
15459.0;2019-12-10
15524.0;2019-12-11
15463.0;2019-12-12
15585.0;2019-12-13
15508.0;2019-12-16
15766.0;2019-12-17
15543.0;2019-12-18
15424.0;2019-12-19
15413.0;2019-12-20
15513.0;2019-12-23
15290.0;2019-12-26
15569.0;2019-12-27
