<BALANCE>,Data
5000.0,2015-01-01
5000.0,2015-01-02
4922.0,2015-01-05
4557.0,2015-01-06
4557.0,2015-01-07
4759.0,2015-01-08
4759.0,2015-01-09
4759.0,2015-01-12
4973.0,2015-01-13
5043.0,2015-01-14
5412.0,2015-01-15
5647.0,2015-01-16
5647.0,2015-01-19
5902.0,2015-01-20
5914.0,2015-01-21
5886.0,2015-01-22
5886.0,2015-01-23
5373.0,2015-01-26
5614.0,2015-01-27
5682.0,2015-01-28
5544.0,2015-01-29
5400.0,2015-01-30
5368.0,2015-02-02
4784.0,2015-02-03
4950.0,2015-02-04
5144.0,2015-02-05
4965.0,2015-02-06
4826.0,2015-02-09
4981.0,2015-02-10
4981.0,2015-02-11
4990.0,2015-02-12
4821.0,2015-02-13
5001.0,2015-02-18
4963.0,2015-02-19
5123.0,2015-02-20
5133.0,2015-02-23
4959.0,2015-02-24
4891.0,2015-02-25
5078.0,2015-02-26
5002.0,2015-02-27
5002.0,2015-03-02
4760.0,2015-03-03
4742.0,2015-03-04
4742.0,2015-03-05
4742.0,2015-03-06
4742.0,2015-03-09
4831.0,2015-03-10
4871.0,2015-03-11
5119.0,2015-03-12
5153.0,2015-03-13
5273.0,2015-03-16
5492.0,2015-03-17
5785.0,2015-03-18
5785.0,2015-03-19
5333.0,2015-03-20
5333.0,2015-03-23
5333.0,2015-03-24
5435.0,2015-03-25
5435.0,2015-03-26
5206.0,2015-03-27
5263.0,2015-03-30
5455.0,2015-03-31
5483.0,2015-04-01
5427.0,2015-04-02
5484.0,2015-04-06
5484.0,2015-04-07
5725.0,2015-04-08
5609.0,2015-04-09
5383.0,2015-04-10
5495.0,2015-04-13
5619.0,2015-04-14
5316.0,2015-04-15
5316.0,2015-04-16
5316.0,2015-04-17
5553.0,2015-04-20
5553.0,2015-04-22
5886.0,2015-04-23
5880.0,2015-04-24
6079.0,2015-04-27
6128.0,2015-04-28
6128.0,2015-04-29
6276.0,2015-04-30
6077.0,2015-05-04
6153.0,2015-05-05
6372.0,2015-05-06
6372.0,2015-05-07
6488.0,2015-05-08
6496.0,2015-05-11
6481.0,2015-05-12
6481.0,2015-05-13
6509.0,2015-05-14
6631.0,2015-05-15
6970.0,2015-05-18
6970.0,2015-05-19
6970.0,2015-05-20
6970.0,2015-05-21
7309.0,2015-05-22
6941.0,2015-05-25
6941.0,2015-05-26
7017.0,2015-05-27
6726.0,2015-05-28
6726.0,2015-05-29
6621.0,2015-06-01
6621.0,2015-06-02
6621.0,2015-06-03
6621.0,2015-06-05
6562.0,2015-06-08
6732.0,2015-06-09
6802.0,2015-06-10
7014.0,2015-06-11
7044.0,2015-06-12
6885.0,2015-06-15
6675.0,2015-06-16
6831.0,2015-06-17
6754.0,2015-06-18
6754.0,2015-06-19
6832.0,2015-06-22
7016.0,2015-06-23
6842.0,2015-06-24
6842.0,2015-06-25
7029.0,2015-06-26
7029.0,2015-06-29
6847.0,2015-06-30
7083.0,2015-07-01
7111.0,2015-07-02
7091.0,2015-07-03
7109.0,2015-07-06
7152.0,2015-07-07
7152.0,2015-07-08
6871.0,2015-07-10
6403.0,2015-07-13
6457.0,2015-07-14
6457.0,2015-07-15
6543.0,2015-07-16
6611.0,2015-07-17
6611.0,2015-07-20
6521.0,2015-07-21
6521.0,2015-07-22
6698.0,2015-07-23
6698.0,2015-07-24
6698.0,2015-07-27
6536.0,2015-07-28
6219.0,2015-07-29
6477.0,2015-07-30
