<BALANCE>,Data
5000.0,2015-01-01
5219.0,2015-01-02
5266.0,2015-01-05
5104.0,2015-01-06
5104.0,2015-01-07
5182.0,2015-01-08
5182.0,2015-01-09
5056.0,2015-01-12
5091.0,2015-01-13
5085.0,2015-01-14
5164.0,2015-01-15
5259.0,2015-01-16
5256.0,2015-01-19
5447.0,2015-01-20
5349.0,2015-01-21
5231.0,2015-01-22
4909.0,2015-01-23
4785.0,2015-01-26
4964.0,2015-01-27
5010.0,2015-01-28
4888.0,2015-01-29
5091.0,2015-01-30
5039.0,2015-02-02
4885.0,2015-02-03
4827.0,2015-02-04
4818.0,2015-02-05
4783.0,2015-02-06
4757.0,2015-02-09
4759.0,2015-02-10
4657.0,2015-02-11
4637.0,2015-02-12
4730.0,2015-02-13
4730.0,2015-02-18
4679.0,2015-02-19
4731.0,2015-02-20
4697.0,2015-02-23
4552.0,2015-02-24
4451.0,2015-02-25
4471.0,2015-02-26
4615.0,2015-02-27
4684.0,2015-03-02
4696.0,2015-03-03
4504.0,2015-03-04
4264.0,2015-03-05
4312.0,2015-03-06
4407.0,2015-03-09
4487.0,2015-03-10
4549.0,2015-03-11
4667.0,2015-03-12
4731.0,2015-03-13
4857.0,2015-03-16
5068.0,2015-03-17
5287.0,2015-03-18
5175.0,2015-03-19
5199.0,2015-03-20
5023.0,2015-03-23
5176.0,2015-03-24
5216.0,2015-03-25
5230.0,2015-03-26
5250.0,2015-03-27
5294.0,2015-03-30
5217.0,2015-03-31
5450.0,2015-04-01
5268.0,2015-04-02
5366.0,2015-04-06
4856.0,2015-04-07
4880.0,2015-04-08
4796.0,2015-04-09
4779.0,2015-04-10
4953.0,2015-04-13
4779.0,2015-04-14
4846.0,2015-04-15
4826.0,2015-04-16
4909.0,2015-04-17
5051.0,2015-04-20
5071.0,2015-04-22
5270.0,2015-04-23
5250.0,2015-04-24
5330.0,2015-04-27
5454.0,2015-04-28
5444.0,2015-04-29
5525.0,2015-04-30
5548.0,2015-05-04
5672.0,2015-05-05
5917.0,2015-05-06
5962.0,2015-05-07
5836.0,2015-05-08
5762.0,2015-05-11
5889.0,2015-05-12
5612.0,2015-05-13
5757.0,2015-05-14
5711.0,2015-05-15
5603.0,2015-05-18
5594.0,2015-05-19
5267.0,2015-05-20
5151.0,2015-05-21
5370.0,2015-05-22
5455.0,2015-05-25
5455.0,2015-05-26
5235.0,2015-05-27
5108.0,2015-05-28
5043.0,2015-05-29
5079.0,2015-06-01
5258.0,2015-06-02
5224.0,2015-06-03
4993.0,2015-06-05
4547.0,2015-06-08
4682.0,2015-06-09
4722.0,2015-06-10
4726.0,2015-06-11
4761.0,2015-06-12
4821.0,2015-06-15
4705.0,2015-06-16
4625.0,2015-06-17
4706.0,2015-06-18
4656.0,2015-06-19
4582.0,2015-06-22
4488.0,2015-06-23
4554.0,2015-06-24
4576.0,2015-06-25
4234.0,2015-06-26
4379.0,2015-06-29
4097.0,2015-06-30
4190.0,2015-07-01
4136.0,2015-07-02
4072.0,2015-07-03
4112.0,2015-07-06
4152.0,2015-07-07
4034.0,2015-07-08
4038.0,2015-07-10
3924.0,2015-07-13
3964.0,2015-07-14
3682.0,2015-07-15
3820.0,2015-07-16
3800.0,2015-07-17
3758.0,2015-07-20
3744.0,2015-07-21
3794.0,2015-07-22
3528.0,2015-07-23
3530.0,2015-07-24
3568.0,2015-07-27
3648.0,2015-07-28
3500.0,2015-07-29
3540.0,2015-07-30
3560.0,2015-07-31
3630.0,2015-08-03
3678.0,2015-08-04
3647.0,2015-08-05
3687.0,2015-08-06
3920.0,2015-08-07
3886.0,2015-08-10
4021.0,2015-08-11
3981.0,2015-08-12
4114.0,2015-08-13
3962.0,2015-08-14
3858.0,2015-08-17
3951.0,2015-08-18
3845.0,2015-08-19
3851.0,2015-08-20
3791.0,2015-08-21
3811.0,2015-08-24
3795.0,2015-08-25
3655.0,2015-08-26
3675.0,2015-08-27
3523.0,2015-08-28
3621.0,2015-08-31
3665.0,2015-09-01
3663.0,2015-09-02
3598.0,2015-09-03
3420.0,2015-09-04
3508.0,2015-09-08
3738.0,2015-09-09
3742.0,2015-09-10
3552.0,2015-09-11
3580.0,2015-09-14
3690.0,2015-09-15
3829.0,2015-09-16
3779.0,2015-09-17
3804.0,2015-09-18
3903.0,2015-09-21
4030.0,2015-09-22
4199.0,2015-09-23
4239.0,2015-09-24
4198.0,2015-09-25
4160.0,2015-09-28
4146.0,2015-09-29
4059.0,2015-09-30
4243.0,2015-10-01
4303.0,2015-10-02
4173.0,2015-10-05
3923.0,2015-10-06
3908.0,2015-10-07
3780.0,2015-10-08
3849.0,2015-10-09
3869.0,2015-10-13
3555.0,2015-10-14
3330.0,2015-10-15
3176.0,2015-10-16
3144.0,2015-10-19
3131.0,2015-10-20
3123.0,2015-10-21
3232.0,2015-10-22
3272.0,2015-10-23
3312.0,2015-10-26
3214.0,2015-10-27
3056.0,2015-10-28
3109.0,2015-10-29
3109.0,2015-10-30
3308.0,2015-11-03
3138.0,2015-11-04
2929.0,2015-11-05
3082.0,2015-11-06
3278.0,2015-11-09
3483.0,2015-11-10
3601.0,2015-11-11
3611.0,2015-11-12
3651.0,2015-11-13
3623.0,2015-11-16
3573.0,2015-11-17
3763.0,2015-11-18
3631.0,2015-11-19
3643.0,2015-11-23
3730.0,2015-11-24
3806.0,2015-11-25
3640.0,2015-11-26
