<BALANCE>,Data
5000.0,2015-01-01
4977.0,2015-01-02
4806.0,2015-01-05
4867.0,2015-01-06
4704.0,2015-01-07
4737.0,2015-01-08
4711.0,2015-01-09
4715.0,2015-01-12
4720.0,2015-01-13
4743.0,2015-01-14
4745.0,2015-01-15
4793.0,2015-01-16
4839.0,2015-01-19
4794.0,2015-01-20
4783.0,2015-01-21
4767.0,2015-01-22
4788.0,2015-01-23
4794.0,2015-01-26
4732.0,2015-01-27
4723.0,2015-01-28
4748.0,2015-01-29
4642.0,2015-01-30
4630.0,2015-02-02
4642.0,2015-02-03
4662.0,2015-02-04
4676.0,2015-02-05
4560.0,2015-02-06
4601.0,2015-02-09
4618.0,2015-02-10
4663.0,2015-02-11
4587.0,2015-02-12
4598.0,2015-02-13
4591.0,2015-02-18
4575.0,2015-02-19
4582.0,2015-02-20
4601.0,2015-02-23
4623.0,2015-02-24
4650.0,2015-02-25
4682.0,2015-02-26
4737.0,2015-02-27
4695.0,2015-03-02
4694.0,2015-03-03
4710.0,2015-03-04
4732.0,2015-03-05
4733.0,2015-03-06
4693.0,2015-03-09
4754.0,2015-03-10
4758.0,2015-03-11
4735.0,2015-03-12
4701.0,2015-03-13
4705.0,2015-03-16
4719.0,2015-03-17
4714.0,2015-03-18
4723.0,2015-03-19
4665.0,2015-03-20
4705.0,2015-03-23
4735.0,2015-03-24
4663.0,2015-03-25
4494.0,2015-03-26
4463.0,2015-03-27
4513.0,2015-03-30
4520.0,2015-03-31
4332.0,2015-04-01
4361.0,2015-04-02
4364.0,2015-04-06
4364.0,2015-04-07
4351.0,2015-04-08
4403.0,2015-04-09
4440.0,2015-04-10
4437.0,2015-04-13
4466.0,2015-04-14
4404.0,2015-04-15
4421.0,2015-04-16
4395.0,2015-04-17
4433.0,2015-04-20
4457.0,2015-04-22
4435.0,2015-04-23
4339.0,2015-04-24
4360.0,2015-04-27
4413.0,2015-04-28
4392.0,2015-04-29
4399.0,2015-04-30
4341.0,2015-05-04
4365.0,2015-05-05
4394.0,2015-05-06
4403.0,2015-05-07
4384.0,2015-05-08
4429.0,2015-05-11
4469.0,2015-05-12
4494.0,2015-05-13
4530.0,2015-05-14
4545.0,2015-05-15
4554.0,2015-05-18
4586.0,2015-05-19
4606.0,2015-05-20
4626.0,2015-05-21
4641.0,2015-05-22
4666.0,2015-05-25
4525.0,2015-05-26
4548.0,2015-05-27
4558.0,2015-05-28
4560.0,2015-05-29
4568.0,2015-06-01
4375.0,2015-06-02
4394.0,2015-06-03
4399.0,2015-06-05
4402.0,2015-06-08
4444.0,2015-06-09
4322.0,2015-06-10
4316.0,2015-06-11
4262.0,2015-06-12
4215.0,2015-06-15
4220.0,2015-06-16
4291.0,2015-06-17
4304.0,2015-06-18
4298.0,2015-06-19
4344.0,2015-06-22
4356.0,2015-06-23
4406.0,2015-06-24
4401.0,2015-06-25
4407.0,2015-06-26
4505.0,2015-06-29
4548.0,2015-06-30
4595.0,2015-07-01
4611.0,2015-07-02
4531.0,2015-07-03
4585.0,2015-07-06
4498.0,2015-07-07
4552.0,2015-07-08
4611.0,2015-07-10
4630.0,2015-07-13
4644.0,2015-07-14
4640.0,2015-07-15
4652.0,2015-07-16
4679.0,2015-07-17
4693.0,2015-07-20
4697.0,2015-07-21
4709.0,2015-07-22
4741.0,2015-07-23
4776.0,2015-07-24
4804.0,2015-07-27
4799.0,2015-07-28
4842.0,2015-07-29
4844.0,2015-07-30
4866.0,2015-07-31
4885.0,2015-08-03
4915.0,2015-08-04
4919.0,2015-08-05
4912.0,2015-08-06
4937.0,2015-08-07
4945.0,2015-08-10
4860.0,2015-08-11
5000.0,2015-08-12
5036.0,2015-08-13
5038.0,2015-08-14
5038.0,2015-08-17
5013.0,2015-08-18
4869.0,2015-08-19
4871.0,2015-08-20
4850.0,2015-08-21
4917.0,2015-08-24
4983.0,2015-08-25
4989.0,2015-08-26
5048.0,2015-08-27
5046.0,2015-08-28
4962.0,2015-08-31
5028.0,2015-09-01
5050.0,2015-09-02
5044.0,2015-09-03
5120.0,2015-09-04
5164.0,2015-09-08
5148.0,2015-09-09
5283.0,2015-09-10
5283.0,2015-09-11
5336.0,2015-09-14
5352.0,2015-09-15
5208.0,2015-09-16
5240.0,2015-09-17
5232.0,2015-09-18
5250.0,2015-09-21
5171.0,2015-09-22
5222.0,2015-09-23
5211.0,2015-09-24
5245.0,2015-09-25
5310.0,2015-09-28
5326.0,2015-09-29
5413.0,2015-09-30
5433.0,2015-10-01
5490.0,2015-10-02
5510.0,2015-10-05
5535.0,2015-10-06
5421.0,2015-10-07
5445.0,2015-10-08
5466.0,2015-10-09
5205.0,2015-10-13
5200.0,2015-10-14
5244.0,2015-10-15
5255.0,2015-10-16
5299.0,2015-10-19
5322.0,2015-10-20
5324.0,2015-10-21
5190.0,2015-10-22
5110.0,2015-10-23
5169.0,2015-10-26
5186.0,2015-10-27
5198.0,2015-10-28
5207.0,2015-10-29
5206.0,2015-10-30
5236.0,2015-11-03
5288.0,2015-11-04
5296.0,2015-11-05
5325.0,2015-11-06
5320.0,2015-11-09
5365.0,2015-11-10
5282.0,2015-11-11
5288.0,2015-11-12
5319.0,2015-11-13
5335.0,2015-11-16
5380.0,2015-11-17
5427.0,2015-11-18
