<BALANCE>,Data
5000.0,2019-01-01
5094.0,2019-01-02
5031.0,2019-01-03
5015.0,2019-01-04
5025.0,2019-01-07
4993.0,2019-01-08
5097.0,2019-01-09
5109.0,2019-01-10
5161.0,2019-01-11
5204.0,2019-01-14
5194.0,2019-01-15
5138.0,2019-01-16
5238.0,2019-01-17
5272.0,2019-01-18
5244.0,2019-01-21
5021.0,2019-01-22
5074.0,2019-01-23
5038.0,2019-01-24
5167.0,2019-01-28
5326.0,2019-01-29
5431.0,2019-01-30
5353.0,2019-01-31
5450.0,2019-02-01
5478.0,2019-02-04
5578.0,2019-02-05
5696.0,2019-02-06
5452.0,2019-02-07
5436.0,2019-02-08
5382.0,2019-02-11
5467.0,2019-02-12
5488.0,2019-02-13
5283.0,2019-02-14
5175.0,2019-02-15
5388.0,2019-02-18
5487.0,2019-02-19
5356.0,2019-02-20
5439.0,2019-02-21
5472.0,2019-02-22
5531.0,2019-02-25
5552.0,2019-02-26
5605.0,2019-02-27
5666.0,2019-02-28
5588.0,2019-03-01
5634.0,2019-03-06
5587.0,2019-03-07
5563.0,2019-03-08
5719.0,2019-03-11
5468.0,2019-03-12
5414.0,2019-03-13
5447.0,2019-03-14
5396.0,2019-03-15
5474.0,2019-03-18
5515.0,2019-03-19
5422.0,2019-03-20
5589.0,2019-03-21
5545.0,2019-03-22
5296.0,2019-03-25
5216.0,2019-03-26
5098.0,2019-03-27
5432.0,2019-03-28
5273.0,2019-03-29
5298.0,2019-04-01
5162.0,2019-04-02
5005.0,2019-04-03
4802.0,2019-04-04
4935.0,2019-04-05
4892.0,2019-04-08
4987.0,2019-04-09
4998.0,2019-04-10
5146.0,2019-04-11
5180.0,2019-04-12
5228.0,2019-04-15
5477.0,2019-04-16
5478.0,2019-04-17
5322.0,2019-04-18
5423.0,2019-04-22
5461.0,2019-04-23
5399.0,2019-04-24
5503.0,2019-04-25
5649.0,2019-04-26
5636.0,2019-04-29
5611.0,2019-04-30
5631.0,2019-05-02
5721.0,2019-05-03
5809.0,2019-05-06
5698.0,2019-05-07
5892.0,2019-05-08
6014.0,2019-05-09
5971.0,2019-05-10
6114.0,2019-05-13
6064.0,2019-05-14
6153.0,2019-05-15
6328.0,2019-05-16
6363.0,2019-05-17
6264.0,2019-05-20
6140.0,2019-05-21
5954.0,2019-05-22
6052.0,2019-05-23
6209.0,2019-05-24
6346.0,2019-05-27
6120.0,2019-05-28
6154.0,2019-05-29
6193.0,2019-05-30
6440.0,2019-05-31
6407.0,2019-06-03
6391.0,2019-06-04
6444.0,2019-06-05
6508.0,2019-06-06
6577.0,2019-06-07
6569.0,2019-06-10
6645.0,2019-06-11
6732.0,2019-06-12
6786.0,2019-06-13
6791.0,2019-06-14
6729.0,2019-06-17
6809.0,2019-06-18
6813.0,2019-06-19
6898.0,2019-06-21
6794.0,2019-06-24
6779.0,2019-06-25
6786.0,2019-06-26
6744.0,2019-06-27
6852.0,2019-06-28
6882.0,2019-07-01
6595.0,2019-07-02
6612.0,2019-07-03
6671.0,2019-07-04
6624.0,2019-07-05
6647.0,2019-07-08
6736.0,2019-07-10
6756.0,2019-07-11
6900.0,2019-07-12
6795.0,2019-07-15
6753.0,2019-07-16
6701.0,2019-07-17
6780.0,2019-07-18
6791.0,2019-07-19
6866.0,2019-07-22
6932.0,2019-07-23
7023.0,2019-07-24
6981.0,2019-07-25
7009.0,2019-07-26
6876.0,2019-07-29
6914.0,2019-07-30
6883.0,2019-07-31
7018.0,2019-08-01
6917.0,2019-08-02
7109.0,2019-08-05
7146.0,2019-08-06
7332.0,2019-08-07
7519.0,2019-08-08
7506.0,2019-08-09
7596.0,2019-08-12
7518.0,2019-08-13
7641.0,2019-08-14
7655.0,2019-08-15
7439.0,2019-08-16
7633.0,2019-08-19
7606.0,2019-08-20
7685.0,2019-08-21
7661.0,2019-08-22
7549.0,2019-08-23
7738.0,2019-08-26
7759.0,2019-08-27
7848.0,2019-08-28
7918.0,2019-08-29
7995.0,2019-08-30
7970.0,2019-09-02
7809.0,2019-09-03
7959.0,2019-09-04
8096.0,2019-09-05
8160.0,2019-09-06
8198.0,2019-09-09
8098.0,2019-09-10
8106.0,2019-09-11
8034.0,2019-09-12
8069.0,2019-09-13
7866.0,2019-09-16
7952.0,2019-09-17
8043.0,2019-09-18
8059.0,2019-09-19
8070.0,2019-09-20
8045.0,2019-09-23
7981.0,2019-09-24
8125.0,2019-09-25
8062.0,2019-09-26
8130.0,2019-09-27
8163.0,2019-09-30
8214.0,2019-10-01
8251.0,2019-10-02
7797.0,2019-10-03
7704.0,2019-10-04
7673.0,2019-10-07
7848.0,2019-10-08
7940.0,2019-10-09
7931.0,2019-10-10
7904.0,2019-10-11
7954.0,2019-10-14
7879.0,2019-10-15
7772.0,2019-10-16
7679.0,2019-10-17
7766.0,2019-10-18
7805.0,2019-10-21
7854.0,2019-10-22
7661.0,2019-10-23
7821.0,2019-10-24
7705.0,2019-10-25
7750.0,2019-10-28
7789.0,2019-10-29
7896.0,2019-10-30
7827.0,2019-10-31
7822.0,2019-11-01
7837.0,2019-11-04
7792.0,2019-11-05
7660.0,2019-11-06
7798.0,2019-11-07
7778.0,2019-11-08
7770.0,2019-11-11
7791.0,2019-11-12
7742.0,2019-11-13
7748.0,2019-11-14
7654.0,2019-11-18
7681.0,2019-11-19
7726.0,2019-11-21
7682.0,2019-11-22
7669.0,2019-11-25
7820.0,2019-11-26
7810.0,2019-11-27
7823.0,2019-11-28
7755.0,2019-11-29
7926.0,2019-12-02
8025.0,2019-12-03
8113.0,2019-12-04
8169.0,2019-12-05
8262.0,2019-12-06
8263.0,2019-12-09
8136.0,2019-12-10
8123.0,2019-12-11
8251.0,2019-12-12
8069.0,2019-12-13
8132.0,2019-12-16
7845.0,2019-12-17
7919.0,2019-12-18
7877.0,2019-12-19
7774.0,2019-12-20
7902.0,2019-12-23
7891.0,2019-12-26
