<BALANCE>,Data
5000.0,2015-01-01
4980.0,2015-01-02
4982.0,2015-01-05
4791.0,2015-01-06
4767.0,2015-01-07
4717.0,2015-01-08
4858.0,2015-01-09
4970.0,2015-01-12
4908.0,2015-01-13
4947.0,2015-01-14
4952.0,2015-01-15
5016.0,2015-01-16
5124.0,2015-01-19
5169.0,2015-01-20
5230.0,2015-01-21
5177.0,2015-01-22
5207.0,2015-01-23
5200.0,2015-01-26
5249.0,2015-01-27
5306.0,2015-01-28
5216.0,2015-01-29
5337.0,2015-01-30
5437.0,2015-02-02
5381.0,2015-02-03
5386.0,2015-02-04
5363.0,2015-02-05
5412.0,2015-02-06
5438.0,2015-02-09
5410.0,2015-02-10
5531.0,2015-02-11
5570.0,2015-02-12
5608.0,2015-02-13
5592.0,2015-02-18
5559.0,2015-02-19
5498.0,2015-02-20
5381.0,2015-02-23
5333.0,2015-02-24
5312.0,2015-02-25
5373.0,2015-02-26
5337.0,2015-02-27
5391.0,2015-03-02
5459.0,2015-03-03
5477.0,2015-03-04
5521.0,2015-03-05
5610.0,2015-03-06
5674.0,2015-03-09
5538.0,2015-03-10
5609.0,2015-03-11
5671.0,2015-03-12
5606.0,2015-03-13
5805.0,2015-03-16
5829.0,2015-03-17
5818.0,2015-03-18
5797.0,2015-03-19
5776.0,2015-03-20
5734.0,2015-03-23
5764.0,2015-03-24
5817.0,2015-03-25
5900.0,2015-03-26
5928.0,2015-03-27
5946.0,2015-03-30
5911.0,2015-03-31
6025.0,2015-04-01
6010.0,2015-04-02
6077.0,2015-04-06
6070.0,2015-04-07
6080.0,2015-04-08
5976.0,2015-04-09
6008.0,2015-04-10
5990.0,2015-04-13
5939.0,2015-04-14
6009.0,2015-04-15
6138.0,2015-04-16
6148.0,2015-04-17
6249.0,2015-04-20
6342.0,2015-04-22
6403.0,2015-04-23
6472.0,2015-04-24
6443.0,2015-04-27
6370.0,2015-04-28
6430.0,2015-04-29
6443.0,2015-04-30
6424.0,2015-05-04
6394.0,2015-05-05
6270.0,2015-05-06
6191.0,2015-05-07
6167.0,2015-05-08
6239.0,2015-05-11
6263.0,2015-05-12
6309.0,2015-05-13
6187.0,2015-05-14
6108.0,2015-05-15
6195.0,2015-05-18
6174.0,2015-05-19
6101.0,2015-05-20
6156.0,2015-05-21
6240.0,2015-05-22
6151.0,2015-05-25
6241.0,2015-05-26
6104.0,2015-05-27
6052.0,2015-05-28
6040.0,2015-05-29
6001.0,2015-06-01
6073.0,2015-06-02
5943.0,2015-06-03
5874.0,2015-06-05
5952.0,2015-06-08
6080.0,2015-06-09
6155.0,2015-06-10
6120.0,2015-06-11
6195.0,2015-06-12
6250.0,2015-06-15
6253.0,2015-06-16
6171.0,2015-06-17
6108.0,2015-06-18
6184.0,2015-06-19
6109.0,2015-06-22
6151.0,2015-06-23
6243.0,2015-06-24
6348.0,2015-06-25
6346.0,2015-06-26
6329.0,2015-06-29
6349.0,2015-06-30
6446.0,2015-07-01
6475.0,2015-07-02
6515.0,2015-07-03
6490.0,2015-07-06
6529.0,2015-07-07
6480.0,2015-07-08
6466.0,2015-07-10
6492.0,2015-07-13
6641.0,2015-07-14
6625.0,2015-07-15
6692.0,2015-07-16
6754.0,2015-07-17
6776.0,2015-07-20
6805.0,2015-07-21
6830.0,2015-07-22
6841.0,2015-07-23
6840.0,2015-07-24
6781.0,2015-07-27
6667.0,2015-07-28
6739.0,2015-07-29
6765.0,2015-07-30
6813.0,2015-07-31
6909.0,2015-08-03
7013.0,2015-08-04
7005.0,2015-08-05
7023.0,2015-08-06
7143.0,2015-08-07
7200.0,2015-08-10
7218.0,2015-08-11
7116.0,2015-08-12
7218.0,2015-08-13
7255.0,2015-08-14
7270.0,2015-08-17
7296.0,2015-08-18
7351.0,2015-08-19
7351.0,2015-08-20
7459.0,2015-08-21
7444.0,2015-08-24
7492.0,2015-08-25
7466.0,2015-08-26
7406.0,2015-08-27
7524.0,2015-08-28
7651.0,2015-08-31
7670.0,2015-09-01
7633.0,2015-09-02
7499.0,2015-09-03
7636.0,2015-09-04
7705.0,2015-09-08
7712.0,2015-09-09
7450.0,2015-09-10
7496.0,2015-09-11
7510.0,2015-09-14
7539.0,2015-09-15
7566.0,2015-09-16
7413.0,2015-09-17
7474.0,2015-09-18
7382.0,2015-09-21
7469.0,2015-09-22
7317.0,2015-09-23
7344.0,2015-09-24
7397.0,2015-09-25
7409.0,2015-09-28
7397.0,2015-09-29
7423.0,2015-09-30
7447.0,2015-10-01
7547.0,2015-10-02
7560.0,2015-10-05
7583.0,2015-10-06
7700.0,2015-10-07
7748.0,2015-10-08
7757.0,2015-10-09
7887.0,2015-10-13
7889.0,2015-10-14
7879.0,2015-10-15
7792.0,2015-10-16
7595.0,2015-10-19
7684.0,2015-10-20
7701.0,2015-10-21
7795.0,2015-10-22
7922.0,2015-10-23
7950.0,2015-10-26
7969.0,2015-10-27
7923.0,2015-10-28
7838.0,2015-10-29
7789.0,2015-10-30
7865.0,2015-11-03
7717.0,2015-11-04
7615.0,2015-11-05
7635.0,2015-11-06
7633.0,2015-11-09
7667.0,2015-11-10
7740.0,2015-11-11
7690.0,2015-11-12
7693.0,2015-11-13
7750.0,2015-11-16
7851.0,2015-11-17
7896.0,2015-11-18
7922.0,2015-11-19
7905.0,2015-11-23
7807.0,2015-11-24
7936.0,2015-11-25
7923.0,2015-11-26
7946.0,2015-11-27
7985.0,2015-11-30
7924.0,2015-12-01
7857.0,2015-12-02
7854.0,2015-12-03
7967.0,2015-12-04
8026.0,2015-12-07
8081.0,2015-12-08
8118.0,2015-12-09
8153.0,2015-12-10
8030.0,2015-12-11
7994.0,2015-12-14
7981.0,2015-12-15
7841.0,2015-12-16
