<BALANCE>,Data
5000.0,2015-01-01
5000.0,2015-01-02
5000.0,2015-01-05
5000.0,2015-01-06
5000.0,2015-01-07
4939.0,2015-01-08
4983.0,2015-01-09
4983.0,2015-01-12
4922.0,2015-01-13
4922.0,2015-01-14
4861.0,2015-01-15
4893.0,2015-01-16
4893.0,2015-01-19
4862.0,2015-01-20
4886.0,2015-01-21
4886.0,2015-01-22
4938.0,2015-01-23
4938.0,2015-01-26
4816.0,2015-01-27
4755.0,2015-01-28
4694.0,2015-01-29
4694.0,2015-01-30
4714.0,2015-02-02
4714.0,2015-02-03
4592.0,2015-02-04
4531.0,2015-02-05
4531.0,2015-02-06
4470.0,2015-02-09
4420.0,2015-02-10
4420.0,2015-02-11
4420.0,2015-02-12
4420.0,2015-02-13
4420.0,2015-02-18
4420.0,2015-02-19
4420.0,2015-02-20
4359.0,2015-02-23
4324.0,2015-02-24
4324.0,2015-02-25
4324.0,2015-02-26
4263.0,2015-02-27
4263.0,2015-03-02
4263.0,2015-03-03
4263.0,2015-03-04
4242.0,2015-03-05
4277.0,2015-03-06
4277.0,2015-03-09
4277.0,2015-03-10
4277.0,2015-03-11
4277.0,2015-03-12
4277.0,2015-03-13
4277.0,2015-03-16
4456.0,2015-03-17
4635.0,2015-03-18
4635.0,2015-03-19
4611.0,2015-03-20
4611.0,2015-03-23
4611.0,2015-03-24
4550.0,2015-03-25
4729.0,2015-03-26
4706.0,2015-03-27
4822.0,2015-03-30
4761.0,2015-03-31
4761.0,2015-04-01
4700.0,2015-04-02
4740.0,2015-04-06
4740.0,2015-04-07
4740.0,2015-04-08
4740.0,2015-04-09
4740.0,2015-04-10
4679.0,2015-04-13
4594.0,2015-04-14
4594.0,2015-04-15
4594.0,2015-04-16
4517.0,2015-04-17
4536.0,2015-04-20
4655.0,2015-04-22
4768.0,2015-04-23
4768.0,2015-04-24
4789.0,2015-04-27
4728.0,2015-04-28
4667.0,2015-04-29
4768.0,2015-04-30
4768.0,2015-05-04
4707.0,2015-05-05
4685.0,2015-05-06
4624.0,2015-05-07
4624.0,2015-05-08
4624.0,2015-05-11
4654.0,2015-05-12
4654.0,2015-05-13
4593.0,2015-05-14
4618.0,2015-05-15
4730.0,2015-05-18
4798.0,2015-05-19
4798.0,2015-05-20
4798.0,2015-05-21
4808.0,2015-05-22
4769.0,2015-05-25
4872.0,2015-05-26
4750.0,2015-05-27
4628.0,2015-05-28
4672.0,2015-05-29
4611.0,2015-06-01
4721.0,2015-06-02
4660.0,2015-06-03
4660.0,2015-06-05
4660.0,2015-06-08
4660.0,2015-06-09
4660.0,2015-06-10
4660.0,2015-06-11
4599.0,2015-06-12
4599.0,2015-06-15
4640.0,2015-06-16
4640.0,2015-06-17
4681.0,2015-06-18
4632.0,2015-06-19
4571.0,2015-06-22
4510.0,2015-06-23
4475.0,2015-06-24
4534.0,2015-06-25
4562.0,2015-06-26
4603.0,2015-06-29
4603.0,2015-06-30
4590.0,2015-07-01
4529.0,2015-07-02
4529.0,2015-07-03
4529.0,2015-07-06
4518.0,2015-07-07
4518.0,2015-07-08
4518.0,2015-07-10
4518.0,2015-07-13
4518.0,2015-07-14
4517.0,2015-07-15
4472.0,2015-07-16
4504.0,2015-07-17
4504.0,2015-07-20
4488.0,2015-07-21
4488.0,2015-07-22
4622.0,2015-07-23
4622.0,2015-07-24
4622.0,2015-07-27
4561.0,2015-07-28
4500.0,2015-07-29
4439.0,2015-07-30
