<BALANCE>;Data
5000.0;2019-01-01
5017.0;2019-01-02
5212.0;2019-01-03
5240.0;2019-01-04
4916.0;2019-01-07
5062.0;2019-01-08
5102.0;2019-01-09
5130.0;2019-01-10
5094.0;2019-01-11
5293.0;2019-01-14
5183.0;2019-01-15
5034.0;2019-01-16
5051.0;2019-01-17
4848.0;2019-01-18
4920.0;2019-01-21
5040.0;2019-01-22
5147.0;2019-01-23
5187.0;2019-01-24
5219.0;2019-01-28
5458.0;2019-01-29
5545.0;2019-01-30
5494.0;2019-01-31
5460.0;2019-02-01
5699.0;2019-02-04
5495.0;2019-02-05
5515.0;2019-02-06
5635.0;2019-02-07
5914.0;2019-02-08
5887.0;2019-02-11
6214.0;2019-02-12
6294.0;2019-02-13
6281.0;2019-02-14
6061.0;2019-02-15
6061.0;2019-02-18
6222.0;2019-02-19
6276.0;2019-02-20
6002.0;2019-02-21
5745.0;2019-02-22
5713.0;2019-02-25
5874.0;2019-02-26
5805.0;2019-02-27
5789.0;2019-02-28
5735.0;2019-03-01
5661.0;2019-03-06
5697.0;2019-03-07
5737.0;2019-03-08
5737.0;2019-03-11
5697.0;2019-03-12
5742.0;2019-03-13
5564.0;2019-03-14
5775.0;2019-03-15
5738.0;2019-03-18
5894.0;2019-03-19
6079.0;2019-03-20
6168.0;2019-03-21
6130.0;2019-03-22
6403.0;2019-03-25
6443.0;2019-03-26
6523.0;2019-03-27
6523.0;2019-03-28
6225.0;2019-03-29
6123.0;2019-04-01
6214.0;2019-04-02
6207.0;2019-04-03
6446.0;2019-04-04
6433.0;2019-04-05
6215.0;2019-04-08
6255.0;2019-04-09
6233.0;2019-04-10
6233.0;2019-04-11
6512.0;2019-04-12
6514.0;2019-04-15
6549.0;2019-04-16
6629.0;2019-04-17
6868.0;2019-04-18
7057.0;2019-04-22
7157.0;2019-04-23
7221.0;2019-04-24
7460.0;2019-04-25
7374.0;2019-04-26
7272.0;2019-04-29
7312.0;2019-04-30
7357.0;2019-05-02
7409.0;2019-05-03
7409.0;2019-05-06
7340.0;2019-05-07
7258.0;2019-05-08
7457.0;2019-05-09
7600.0;2019-05-10
7528.0;2019-05-13
7608.0;2019-05-14
7675.0;2019-05-15
7769.0;2019-05-16
8048.0;2019-05-17
8287.0;2019-05-20
8304.0;2019-05-21
8352.0;2019-05-22
8484.0;2019-05-23
8442.0;2019-05-24
8482.0;2019-05-27
8801.0;2019-05-28
8098.0;2019-05-29
8237.0;2019-05-30
